336,a,0.25,-0.01,-0.94
337,a,0.26,0.00,-0.93
338,a,0.25,0.00,-0.95
339,a,0.25,0.00,-0.95
340,a,0.23,-0.01,-0.92
341,a,0.26,-0.01,-0.93
342,a,0.25,0.00,-0.96
343,a,0.25,0.00,-0.92
344,a,0.25,-0.01,-0.93
345,a,0.26,0.00,-0.94
346,a,0.26,0.00,-0.94
347,a,0.24,0.00,-0.94
348,a,0.24,-0.01,-0.94
349,a,0.24,0.00,-0.93
350,a,0.25,0.00,-0.93
351,a,0.24,-0.01,-0.93
352,a,0.24,0.00,-0.93
353,a,0.23,-0.02,-0.93
354,a,0.26,0.00,-0.94
355,a,0.25,0.00,-0.93
356,a,0.25,0.00,-0.94
357,a,0.25,-0.01,-0.92
358,a,0.26,-0.01,-0.94
359,a,0.23,-0.01,-0.95
360,a,0.24,-0.02,-0.92
361,a,0.26,-0.01,-0.94
362,a,0.25,0.00,-0.93
363,a,0.25,-0.02,-0.93
364,a,0.25,-0.02,-0.92
365,a,0.27,0.00,-0.94
366,a,0.26,-0.02,-0.92
367,a,0.26,0.00,-0.96
368,a,0.26,-0.02,-0.91
369,a,0.26,-0.01,-0.93
370,a,0.28,-0.01,-0.92
371,a,0.27,-0.02,-0.95
372,a,0.28,-0.02,-0.93
373,a,0.27,-0.01,-0.93
374,b,1005.14,,
375,a,0.27,-0.01,-0.95
376,a,0.28,0.00,-0.95
377,a,0.27,-0.03,-0.93
378,a,0.27,-0.02,-0.93
379,a,0.27,-0.03,-0.93
380,a,0.27,-0.03,-0.92
381,a,0.27,-0.04,-0.92
382,a,0.27,-0.03,-0.92
383,a,0.26,-0.04,-0.92
384,a,0.27,-0.03,-0.91
385,a,0.25,-0.04,-0.94
386,a,0.25,-0.04,-0.91
387,a,0.27,-0.04,-0.94
388,a,0.28,-0.02,-0.93
389,a,0.26,-0.03,-0.93
390,a,0.29,0.00,-0.95
391,a,0.28,-0.01,-0.95
392,a,0.30,-0.03,-0.93
393,a,0.29,0.03,-0.91
394,a,0.30,-0.03,-0.94
395,a,0.28,0.00,-0.92
396,a,0.27,-0.02,-0.95
397,a,0.26,0.00,-0.97
398,a,0.28,0.00,-0.88
399,a,0.30,-0.02,-0.93
400,a,0.30,-0.03,-0.93
401,a,0.28,0.00,-0.96
402,a,0.28,-0.01,-0.93
403,a,0.27,-0.04,-0.94
404,a,0.27,-0.02,-0.92
405,a,0.28,-0.02,-0.93
406,a,0.28,-0.03,-0.92
407,a,0.30,-0.01,-0.93
408,h,84.75,,
409,a,0.29,-0.02,-0.92
410,a,0.30,-0.02,-0.92
411,a,0.29,-0.01,-0.93
412,a,0.30,-0.01,-0.90
413,a,0.30,-0.02,-0.94
414,a,0.29,-0.01,-0.92
415,a,0.28,-0.01,-0.93
416,a,0.30,0.00,-0.94
417,a,0.29,-0.02,-0.92
418,a,0.29,-0.02,-0.92
419,l,17.18,,
420,a,0.30,-0.01,-0.93
421,a,0.28,-0.03,-0.92
422,a,0.28,-0.02,-0.91
423,t,28.406,,
424,a,0.28,-0.03,-0.92
425,a,0.26,-0.03,-0.93
426,a,0.29,-0.02,-0.94
427,a,0.27,-0.02,-0.93
428,a,0.29,-0.03,-0.93
429,a,0.28,-0.02,-0.94
430,a,0.28,-0.02,-0.94
431,a,0.27,-0.04,-0.93
432,a,0.26,-0.05,-0.93
433,a,0.28,-0.02,-0.93
434,a,0.30,-0.02,-0.95
435,a,0.29,-0.01,-0.95
436,a,0.28,-0.04,-0.93
437,a,0.28,-0.02,-0.94
438,a,0.27,-0.02,-0.93
439,a,0.28,-0.01,-0.92
440,a,0.28,-0.04,-0.92
441,a,0.27,-0.02,-0.95
442,a,0.28,-0.02,-0.94
443,a,0.29,-0.02,-0.92
444,a,0.30,-0.03,-0.91
445,a,0.30,-0.02,-0.92
446,a,0.29,-0.02,-0.91
447,a,0.29,-0.03,-0.94
448,a,0.30,-0.07,-0.92
449,a,0.35,0.00,-0.90
450,a,0.36,-0.07,-0.92
451,a,0.38,0.02,-0.90
452,a,0.40,0.07,-0.92
453,a,0.34,0.00,-0.92
454,a,0.34,-0.09,-0.88
455,a,0.25,-0.04,-1.03
456,a,0.23,0.06,-1.06
457,a,0.04,0.09,-1.11
458,a,-0.14,-0.03,-0.80
459,a,0.05,0.02,-0.71
460,a,0.04,-0.02,-0.87
461,a,0.11,-0.02,-0.96
462,a,0.15,0.00,-1.00
463,a,0.25,0.34,-1.10
464,a,0.02,0.11,-1.00
465,a,0.05,0.04,-0.68
466,a,0.00,0.03,-0.82
467,a,0.01,0.10,-1.01
468,a,0.09,0.46,-1.58
469,a,-0.21,-0.01,-0.93
470,a,0.12,0.10,-0.74
471,a,0.24,0.02,-0.84
472,a,0.26,-0.03,-0.90
473,a,0.10,0.11,-1.49
474,a,0.15,0.14,-0.83
475,a,0.03,0.14,-0.92
476,a,0.14,0.01,-0.70
477,b,1005.22,,
478,a,0.19,-0.01,-0.87
479,a,0.19,-0.07,-1.03
480,a,0.23,0.09,-1.15
481,a,0.01,0.00,-0.97
482,a,0.16,0.00,-0.81
