name,time,nodeid,value
test,1518087651268238080,47235," "
test,1518087651270721024,47235,"58243:47235,30,156,-1881528873,#"
test,1518087651385665792,47235," "
test,1518087651388070144,47235,"58243:47235,28,179,-1881391244,#"
test,1518087651514415872,47235," "
test,1518087651517001984,47235,"58243:47235,30,157,-1881519796,#"
test,1518087651643332096,47235," "
test,1518087651645825024,47235,"58243:47235,29,18,-1882269608,#"
test,1518087651772072192,47235," "
test,1518087651774755840,47235,"58243:47235,27,178,-1881440170,#"
test,1518087652348151040,47235," "
test,1518087652349329920,47235,"63875:18,0,13,920525,#"
test,1518087652598976000,47235," "
test,1518087652600797952,47235,"3815:17,26,97,1342994,#"
test,1518087652967858944,47235," "
test,1518087652970036992,47235,"58243:63875,0,13,-1942568396,#"
test,1518087653098170112,47235," "
test,1518087653100198144,47235,"58243:3815,26,97,-1457204352,#"
test,1518087653348246016,47235," "
test,1518087653349807872,47235,"43398:17,26,0,1070133,#"
test,1518087653845340928,47235," "
test,1518087653847493888,47235,"58243:43398,26,0,918965664,#"
test,1518087655348861952,47235," "
test,1518087655350490112,47235,"3815:17,26,95,1331858,#"
test,1518087655594856960,47235," "
test,1518087655596838912,47235,"51590:1,30,159,1192306,#"
test,1518087656223900928,47235," "
test,1518087656225619968,47235,"27776:20,29,1,1670642,#"
test,1518087656346476032,47235," "
test,1518087656348877824,47235,"58243:47235,26,94,-1882138581,#"
test,1518087656449917952,47235," "
test,1518087656452276992,47235,"58243:47235,30,156,-1881528873,#"
test,1518087656578644992,47235," "
test,1518087656581295872,47235,"58243:47235,28,179,-1881391244,#"
test,1518087656707609856,47235," "
test,1518087656710104064,47235,"58243:47235,30,157,-1881519796,#"
test,1518087656836393984,47235," "
test,1518087656838977024,47235,"58243:47235,29,18,-1882269608,#"
test,1518087656964529152,47235," "
test,1518087656967137024,47235,"58243:47235,27,178,-1881440170,#"
test,1518087657093421824,47235," "
test,1518087657095576064,47235,"58243:47235,0,13,-1882688716,#"
test,1518087657221852928,47235," "
test,1518087657224168960,47235,"58243:47235,26,97,-1882121964,#"
test,1518087658533008128,47235,waiting...
test,1518087658847521024,47235," "
test,1518087658850269952,47235,"58243:47235,26,94,-1882138581,#"
test,1518087658958993920,47235," "
test,1518087658961532160,47235,"58243:47235,30,156,-1881528873,#"
test,1518087659088096000,47235," "
test,1518087659090616832,47235,"58243:47235,28,179,-1881391244,#"
test,1518087659217174016,47235," "
test,1518087659219608064,47235,"58243:47235,30,157,-1881519796,#"
test,1518087659346086912,47235," "
test,1518087659348359936,47235,"58243:47235,29,18,-1882269608,#"
test,1518087659474242816,47235," "
test,1518087659476762112,47235,"58243:47235,27,178,-1881440170,#"
test,1518087659603521024,47235," "
test,1518087659605678080,47235,"58243:47235,0,13,-1882688716,#"
test,1518087660097876992,47235," "
test,1518087660099514112,47235,"43398:17,26,4,1070597,#"
test,1518087660222505216,47235," "
test,1518087660223813888,47235,"21767:0,26,4,299256,#"
test,1518087660473351936,47235," "
test,1518087660475087872,47235,"1103:1,27,180,1274368,#"
test,1518087662722878976,47235," "
test,1518087662724864000,47235,"58243:43398,26,4,918966128,#"
test,1518087662845453056,47235," "
test,1518087662847652864,47235,"58243:1103,27,180,229273846,#"
test,1518087663099787008,47235," "
test,1518087663102292992,47235,"58243:47235,26,94,-1882138581,#"
test,1518087663113769984,47235," "
test,1518087663116496128,47235,"58243:47235,30,156,-1881528873,#"
test,1518087663242910976,47235," "
test,1518087663245330944,47235,"58243:47235,28,179,-1881391244,#"
test,1518087663372084992,47235," "
test,1518087663374334208,47235,"58243:47235,30,157,-1881519796,#"
test,1518087663500699136,47235," "
test,1518087663503237120,47235,"58243:47235,29,18,-1882269608,#"
test,1518087663629064192,47235," "
test,1518087663631581952,47235,"58243:47235,27,178,-1881440170,#"
test,1518087663846599936,47235," "
test,1518087663848467200,47235,"3815:17,26,98,1348649,#"
test,1518087665850164992,47235," "
test,1518087665851748864,47235,"27776:20,29,1,1670642,#"
test,1518087666848764928,47235," "
test,1518087666850765824,47235,"58243:3815,26,98,-1457198697,#"
test,1518087666973840896,47235," "
test,1518087666976025088,47235,"58243:47235,26,4,-1882394361,#"
test,1518087667010951168,47235," "
test,1518087667013492992,47235,"58243:47235,27,180,-1881419406,#"
test,1518087667140050944,47235," "
test,1518087667142764032,47235,"58243:47235,30,156,-1881528873,#"
test,1518087667268820992,47235," "
test,1518087667271385856,47235,"58243:47235,28,179,-1881391244,#"
test,1518087667398093056,47235," "
test,1518087667400553984,47235,"58243:47235,30,157,-1881519796,#"
test,1518087667526742016,47235," "
test,1518087667529287168,47235,"58243:47235,29,18,-1882269608,#"
test,1518087667655278080,47235," "
test,1518087667657721088,47235,"58243:47235,27,178,-1881440170,#"
test,1518087668532346880,47235,waiting...
test,1518087668597584128,47235," "
test,1518087668599416064,47235,"43398:17,26,0,1070133,#"
test,1518087668717895936,47235," "
test,1518087668719979008,47235,"58243:43398,26,0,918965664,#"
test,1518087669221231104,47235," "
test,1518087669222845184,47235,"27776:20,29,1,1670642,#"
test,1518087670097889024,47235," "
test,1518087670099539968,47235,"21767:0,29,1,414642,#"
test,1518087671598320128,47235," "
test,1518087671600164864,47235,"3815:17,26,98,1348649,#"
test,1518087671721065984,47235," "
test,1518087671723361024,47235,"58243:21767,26,0,-250784637,#"
test,1518087671971982848,47235," "
test,1518087671974117120,47235,"58243:47235,26,4,-1882394361,#"
test,1518087672089972992,47235," "
test,1518087672092438016,47235,"58243:47235,27,180,-1881419406,#"
test,1518087672218992896,47235," "
test,1518087672221380864,47235,"58243:47235,30,156,-1881528873,#"
test,1518087672347913984,47235," "
test,1518087672350241792,47235,"58243:47235,28,179,-1881391244,#"
test,1518087672476823040,47235," "
test,1518087672479271936,47235,"58243:47235,30,157,-1881519796,#"
test,1518087672623821056,47235," "
test,1518087672625579008,47235,"27776:20,29,1,1670642,#"
test,1518087672722477056,47235," "
test,1518087672725004800,47235,"58243:47235,29,18,-1882269608,#"
test,1518087674098231040,47235," "
test,1518087674100339968,47235,"58243:47235,26,0,-1882394825,#"
test,1518087674349126144,47235," "
test,1518087674351578880,47235,"58243:47235,27,180,-1881419406,#"
test,1518087674378788864,47235," "
test,1518087674381350144,47235,"58243:47235,30,156,-1881528873,#"
test,1518087674507874048,47235," "
test,1518087674510461184,47235,"58243:47235,28,179,-1881391244,#"
test,1518087674636861952,47235," "
test,1518087674639358976,47235,"58243:47235,30,157,-1881519796,#"
test,1518087674766354176,47235," "
test,1518087674770586880,47235,"58243:47235,29,1,-1882278975,#"
test,1518087674970812160,47235," "
test,1518087674972531200,47235,"1103:1,27,180,1274368,#"
test,1518087675095710976,47235," "
test,1518087675097490176,47235,"27776:20,29,1,1670642,#"
test,1518087675220883968,47235," "
test,1518087675223036160,47235,"58243:27776,29,1,2024166322,#"
test,1518087675596263936,47235," "
test,1518087675598420992,47235,"58243:43398,26,4,918966128,#"
test,1518087675724168960,47235," "
test,1518087675725836032,47235,"59398:18,27,20,1261835,#"
test,1518087675973782016,47235," "
test,1518087675975845120,47235,"58243:59398,27,20,848047323,#"
test,1518087677475159808,47235," "
test,1518087677477572864,47235,"58243:47235,30,156,-1881528873,#"
test,1518087677512528896,47235," "
test,1518087677515139072,47235,"58243:47235,28,179,-1881391244,#"
test,1518087677641527808,47235," "
test,1518087677644006912,47235,"58243:47235,30,157,-1881519796,#"
test,1518087677770490880,47235," "
test,1518087677772677888,47235,"58243:47235,29,1,-1882278975,#"
test,1518087677901165056,47235," "
test,1518087677903780864,47235,"58243:47235,27,180,-1881419406,#"
test,1518087678029444096,47235," "
test,1518087678031182080,47235,"58243:47235,29,1,-1882278975,#"
test,1518087678157666048,47235," "
test,1518087678159693056,47235,"58243:47235,29,1,-1882278975,#"
test,1518087678532169216,47235,waiting...
test,1518087679721647104,47235," "
test,1518087679724028160,47235,"58243:47235,28,179,-1881391244,#"
test,1518087679825427968,47235," "
test,1518087679828075008,47235,"58243:47235,30,157,-1881519796,#"
test,1518087679954333184,47235," "
test,1518087679956461824,47235,"58243:47235,29,1,-1882278975,#"
test,1518087680085395968,47235," "
test,1518087680087842048,47235,"58243:47235,27,180,-1881419406,#"
test,1518087680214260992,47235," "
test,1518087680216197888,47235,"58243:47235,29,1,-1882278975,#"
test,1518087680345387008,47235," "
test,1518087680347400960,47235,"58243:47235,29,1,-1882278975,#"
test,1518087680595419904,47235," "
test,1518087680597170176,47235,"3815:17,26,98,1348649,#"
test,1518087681347183104,47235," "
test,1518087681348761088,47235,"51590:1,30,159,1192306,#"
test,1518087681592980992,47235," "
test,1518087681595296000,47235,"58243:51590,30,159,-1495568563,#"
test,1518087681848265984,47235," "
test,1518087681849906944,47235,"63875:18,0,9,917973,#"
test,1518087682095042048,47235," "
test,1518087682097285888,47235,"58243:63875,0,9,-1942570948,#"
test,1518087682345601024,47235," "
test,1518087682347186176,47235,"27776:20,29,1,1670642,#"
test,1518087683846865920,47235," "
test,1518087683849486080,47235,"58243:47235,28,179,-1881391244,#"
test,1518087683864950784,47235," "
test,1518087683867611904,47235,"58243:47235,30,157,-1881519796,#"
test,1518087683993771008,47235," "
test,1518087683996002816,47235,"58243:47235,29,1,-1882278975,#"
test,1518087684124761088,47235," "
test,1518087684127379968,47235,"58243:47235,27,180,-1881419406,#"
test,1518087684253606144,47235," "
test,1518087684255652864,47235,"58243:47235,29,1,-1882278975,#"
test,1518087684384598016,47235," "
test,1518087684386477824,47235,"58243:47235,29,1,-1882278975,#"
test,1518087684515469056,47235," "
test,1518087684517779968,47235,"58243:47235,26,98,-1882116309,#"
test,1518087684645683968,47235," "
test,1518087684648228864,47235,"58243:47235,30,159,-1881501468,#"
test,1518087684845654016,47235," "
test,1518087684850426880,47235,"27776:20,29,1,1670642,#"
test,1518087685098611200,47235," "
test,1518087685100876032,47235,"58243:27776,29,1,2024166322,#"
test,1518087686972038144,47235," "
test,1518087686973638912,47235,"21767:0,29,1,414642,#"
test,1518087687092909056,47235," "
test,1518087687094631936,47235,"21767:0,29,1,414642,#"
test,1518087687849065984,47235," "
test,1518087687850889984,47235,"3815:17,26,98,1348649,#"
test,1518087688097914880,47235," "
test,1518087688099936000,47235,"1103:1,27,180,1274368,#"
test,1518087688345235200,47235," "
test,1518087688346797056,47235,"51590:1,30,158,1183113,#"
test,1518087688475162112,47235," "
test,1518087688477520896,47235,"58243:47235,28,179,-1881391244,#"
test,1518087688532457216,47235,waiting...
test,1518087688551756032,47235," "
test,1518087688554307840,47235,"58243:47235,30,157,-1881519796,#"
test,1518087688680637952,47235," "
test,1518087688682650112,47235,"58243:47235,29,1,-1882278975,#"
test,1518087688811559936,47235," "
test,1518087688814168064,47235,"58243:47235,27,180,-1881419406,#"
test,1518087688940289024,47235," "
test,1518087688942480128,47235,"58243:47235,29,1,-1882278975,#"
test,1518087689071280128,47235," "
test,1518087689073275136,47235,"58243:47235,29,1,-1882278975,#"
test,1518087689202150144,47235," "
test,1518087689204440064,47235,"58243:47235,26,98,-1882116309,#"
test,1518087689330530048,47235," "
test,1518087689332850944,47235,"58243:47235,30,159,-1881501468,#"
test,1518087689720136960,47235," "
test,1518087689721814016,47235,"21767:0,30,159,1192149,#"
test,1518087691098087936,47235," "
test,1518087691099726080,47235,"27776:20,29,1,1670642,#"
test,1518087692346183168,47235," "
test,1518087692348489984,47235,"58243:47235,26,98,-1882116309,#"
test,1518087692469208064,47235," "
test,1518087692471639040,47235,"58243:47235,30,158,-1881510661,#"
test,1518087692506470912,47235," "
test,1518087692509086976,47235,"58243:47235,28,179,-1881391244,#"
test,1518087692635461120,47235," "
test,1518087692638009088,47235,"58243:47235,30,157,-1881519796,#"
test,1518087692764364032,47235," "
test,1518087692766531072,47235,"58243:47235,29,1,-1882278975,#"
test,1518087692895233024,47235," "
test,1518087692897902848,47235,"58243:47235,27,180,-1881419406,#"
test,1518087693024625152,47235," "
test,1518087693026761984,47235,"58243:47235,29,1,-1882278975,#"
test,1518087693223414016,47235," "
