51320,a,0.54,0.33,0.79
51367,a,0.54,0.33,0.79
51414,a,0.54,0.33,0.79
51460,a,0.55,0.32,0.79
51507,a,0.54,0.33,0.79
51554,a,0.54,0.33,0.78
51601,a,0.54,0.33,0.79
51648,a,0.54,0.33,0.78
51679,b,1006.58,,
51695,a,0.55,0.33,0.79
51742,a,0.55,0.33,0.79
51789,a,0.55,0.33,0.79
51835,a,0.55,0.32,0.79
51882,a,0.54,0.32,0.78
51929,a,0.55,0.33,0.78
51976,a,0.54,0.33,0.78
52023,a,0.54,0.33,0.78
52070,a,0.55,0.33,0.79
52117,a,0.54,0.33,0.78
52164,a,0.55,0.33,0.79
52179,b,1006.66,,
52187,t,28.62,,
52187,l,86.96,,
52187,h,55.15,,
52226,a,0.55,0.33,0.78
52273,a,0.54,0.33,0.79
52320,a,0.55,0.33,0.79
52367,a,0.55,0.33,0.79
52414,a,0.55,0.33,0.77
52460,a,0.55,0.33,0.78
52507,a,0.55,0.33,0.79
52554,a,0.54,0.33,0.78
52601,a,0.55,0.33,0.78
52648,a,0.55,0.33,0.78
52679,b,1006.52,,
52695,a,0.54,0.33,0.79
52742,a,0.54,0.33,0.79
52789,a,0.55,0.33,0.79
52835,a,0.54,0.33,0.79
52882,a,0.55,0.33,0.79
52929,a,0.54,0.33,0.79
52976,a,0.55,0.33,0.78
53023,a,0.54,0.33,0.79
53070,a,0.55,0.33,0.79
53117,a,0.55,0.33,0.79
53164,a,0.55,0.33,0.78
53179,b,1006.6,,
53187,t,28.62,,
53187,l,86,,
53187,h,55.5,,
53226,a,0.55,0.33,0.79
53273,a,0.54,0.33,0.79
53320,a,0.54,0.33,0.79
53367,a,0.55,0.33,0.79
53414,a,0.54,0.33,0.78
53460,a,0.55,0.33,0.79
53507,a,0.55,0.33,0.79
53554,a,0.54,0.33,0.78
53601,a,0.55,0.33,0.79
53648,a,0.55,0.33,0.79
53679,b,1006.58,,
53695,a,0.54,0.33,0.79
53742,a,0.54,0.33,0.79
53789,a,0.55,0.33,0.78
53835,a,0.55,0.33,0.79
53882,a,0.55,0.33,0.78
53929,a,0.54,0.33,0.79
53976,a,0.55,0.34,0.79
54023,a,0.54,0.33,0.79
54070,a,0.54,0.32,0.79
54117,a,0.55,0.33,0.78
54164,a,0.54,0.33,0.79
54179,b,1006.58,,
54187,t,28.62,,
54187,l,86.32,,
54187,h,55.5,,
54226,a,0.54,0.33,0.79
54273,a,0.54,0.32,0.78
54320,a,0.55,0.33,0.79
54367,a,0.56,0.32,0.79
54414,a,0.56,0.33,0.77
54460,a,0.55,0.33,0.78
54507,a,0.55,0.33,0.78
54554,a,0.55,0.34,0.8
54601,a,0.55,0.32,0.79
54648,a,0.56,0.32,0.79
54679,b,1006.58,,
54695,a,0.55,0.32,0.77
54742,a,0.55,0.31,0.78
