time,x,y,z,b,t,l,h,label
52554,0.54,0.33,0.78,1006.66,28.62,86.96,55.15,0
52601,0.55,0.33,0.78,1006.66,28.62,86.96,55.15,0
52648,0.55,0.33,0.78,1006.66,28.62,86.96,55.15,0
52679,0.55,0.33,0.78,1006.52,28.62,86.96,55.15,0
52695,0.54,0.33,0.79,1006.52,28.62,86.96,55.15,0
52742,0.54,0.33,0.79,1006.52,28.62,86.96,55.15,0
52789,0.55,0.33,0.79,1006.52,28.62,86.96,55.15,0
52835,0.54,0.33,0.79,1006.52,28.62,86.96,55.15,0
52882,0.55,0.33,0.79,1006.52,28.62,86.96,55.15,0
52929,0.54,0.33,0.79,1006.52,28.62,86.96,55.15,0
52976,0.55,0.33,0.78,1006.52,28.62,86.96,55.15,0
53023,0.54,0.33,0.79,1006.52,28.62,86.96,55.15,0
53070,0.55,0.33,0.79,1006.52,28.62,86.96,55.15,0
53117,0.55,0.33,0.79,1006.52,28.62,86.96,55.15,0
53164,0.55,0.33,0.78,1006.52,28.62,86.96,55.15,0
53179,0.55,0.33,0.78,1006.6,28.62,86.96,55.15,0
53187,0.55,0.33,0.78,1006.6,28.62,86.96,55.15,0
53187,0.55,0.33,0.78,1006.6,28.62,86,55.15,0
53187,0.55,0.33,0.78,1006.6,28.62,86,55.5,0
53226,0.55,0.33,0.79,1006.6,28.62,86,55.5,0
53273,0.54,0.33,0.79,1006.6,28.62,86,55.5,0
53320,0.54,0.33,0.79,1006.6,28.62,86,55.5,0
53367,0.55,0.33,0.79,1006.6,28.62,86,55.5,0
53414,0.54,0.33,0.78,1006.6,28.62,86,55.5,0
53460,0.55,0.33,0.79,1006.6,28.62,86,55.5,0
53507,0.55,0.33,0.79,1006.6,28.62,86,55.5,0
53554,0.54,0.33,0.78,1006.6,28.62,86,55.5,0
53601,0.55,0.33,0.79,1006.6,28.62,86,55.5,0
53648,0.55,0.33,0.79,1006.6,28.62,86,55.5,0
53679,0.55,0.33,0.79,1006.58,28.62,86,55.5,0
53695,0.54,0.33,0.79,1006.58,28.62,86,55.5,0
53742,0.54,0.33,0.79,1006.58,28.62,86,55.5,0
53789,0.55,0.33,0.78,1006.58,28.62,86,55.5,0
53835,0.55,0.33,0.79,1006.58,28.62,86,55.5,0
53882,0.55,0.33,0.78,1006.58,28.62,86,55.5,0
53929,0.54,0.33,0.79,1006.58,28.62,86,55.5,0
53976,0.55,0.34,0.79,1006.58,28.62,86,55.5,0
54023,0.54,0.33,0.79,1006.58,28.62,86,55.5,0
54070,0.54,0.32,0.79,1006.58,28.62,86,55.5,0
54117,0.55,0.33,0.78,1006.58,28.62,86,55.5,0
54164,0.54,0.33,0.79,1006.58,28.62,86,55.5,0
54179,0.54,0.33,0.79,1006.58,28.62,86,55.5,0
54187,0.54,0.33,0.79,1006.58,28.62,86,55.5,0
54187,0.54,0.33,0.79,1006.58,28.62,86.32,55.5,0
54187,0.54,0.33,0.79,1006.58,28.62,86.32,55.5,0
54226,0.54,0.33,0.79,1006.58,28.62,86.32,55.5,0
54273,0.54,0.32,0.78,1006.58,28.62,86.32,55.5,0
54320,0.55,0.33,0.79,1006.58,28.62,86.32,55.5,0
54367,0.56,0.32,0.79,1006.58,28.62,86.32,55.5,0
54414,0.56,0.33,0.77,1006.58,28.62,86.32,55.5,0
54460,0.55,0.33,0.78,1006.58,28.62,86.32,55.5,0
54507,0.55,0.33,0.78,1006.58,28.62,86.32,55.5,0
54554,0.55,0.34,0.8,1006.58,28.62,86.32,55.5,0
54601,0.55,0.32,0.79,1006.58,28.62,86.32,55.5,0
54648,0.56,0.32,0.79,1006.58,28.62,86.32,55.5,0
54679,0.56,0.32,0.79,1006.58,28.62,86.32,55.5,0
54695,0.55,0.32,0.77,1006.58,28.62,86.32,55.5,0
54742,0.55,0.31,0.78,1006.58,28.62,86.32,55.5,0
54789,0.56,0.33,0.78,1006.58,28.62,86.32,55.5,0
54835,0.56,0.33,0.75,1006.58,28.62,86.32,55.5,0
54882,0.57,0.32,0.79,1006.58,28.62,86.32,55.5,0
54929,0.56,0.33,0.77,1006.58,28.62,86.32,55.5,0
54976,0.58,0.32,0.76,1006.58,28.62,86.32,55.5,0
55023,0.57,0.33,0.77,1006.58,28.62,86.32,55.5,0
55070,0.58,0.34,0.77,1006.58,28.62,86.32,55.5,0
55117,0.57,0.31,0.79,1006.58,28.62,86.32,55.5,0
55164,0.57,0.34,0.79,1006.58,28.62,86.32,55.5,0
55179,0.57,0.34,0.79,1006.63,28.62,86.32,55.5,0
55187,0.57,0.34,0.79,1006.63,28.62,86.32,55.5,0
55187,0.57,0.34,0.79,1006.63,28.62,94.4,55.5,0
55187,0.57,0.34,0.79,1006.63,28.62,94.4,54.95,0
55226,0.74,0.2,0.78,1006.63,28.62,94.4,54.95,0
55273,0.64,0.35,0.72,1006.63,28.62,94.4,54.95,0
55320,0.58,0.32,0.74,1006.63,28.62,94.4,54.95,0
55367,0.57,0.33,0.74,1006.63,28.62,94.4,54.95,0
55414,0.61,0.31,0.77,1006.63,28.62,94.4,54.95,0
55460,0.6,0.31,0.77,1006.63,28.62,94.4,54.95,0
55507,0.6,0.3,0.75,1006.63,28.62,94.4,54.95,0
55554,0.61,0.32,0.74,1006.63,28.62,94.4,54.95,0
55601,0.6,0.36,0.76,1006.63,28.62,94.4,54.95,0
55648,0.62,0.28,0.76,1006.63,28.62,94.4,54.95,0
55679,0.62,0.28,0.76,1006.6,28.62,94.4,54.95,0
55695,0.63,0.38,0.77,1006.6,28.62,94.4,54.95,0
55742,0.62,0.27,0.73,1006.6,28.62,94.4,54.95,0
55789,0.6,0.35,0.77,1006.6,28.62,94.4,54.95,0
55835,0.61,0.28,0.74,1006.6,28.62,94.4,54.95,0
55882,0.6,0.29,0.8,1006.6,28.62,94.4,54.95,0
55929,0.6,0.25,0.75,1006.6,28.62,94.4,54.95,0
55976,0.61,0.27,0.77,1006.6,28.62,94.4,54.95,0
56023,0.62,0.29,0.76,1006.6,28.62,94.4,54.95,0
56070,0.62,0.28,0.77,1006.6,28.62,94.4,54.95,0
56117,0.61,0.26,0.75,1006.6,28.62,94.4,54.95,0
56164,0.61,0.25,0.75,1006.6,28.62,94.4,54.95,0
56179,0.61,0.25,0.75,1006.6,28.62,94.4,54.95,0
56187,0.61,0.25,0.75,1006.6,28.62,94.4,54.95,0
56187,0.61,0.25,0.75,1006.6,28.62,100.16,54.95,0
56187,0.61,0.25,0.75,1006.6,28.62,100.16,54.95,0
56226,0.63,0.23,0.76,1006.6,28.62,100.16,54.95,0
56273,0.62,0.25,0.76,1006.6,28.62,100.16,54.95,0
56320,0.63,0.28,0.76,1006.6,28.62,100.16,54.95,0
56367,0.62,0.27,0.74,1006.6,28.62,100.16,54.95,0
56414,0.6,0.26,0.77,1006.6,28.62,100.16,54.95,0
56460,0.61,0.23,0.76,1006.6,28.62,100.16,54.95,0
56507,0.61,0.22,0.78,1006.6,28.62,100.16,54.95,0
56554,0.59,0.23,0.78,1006.6,28.62,100.16,54.95,0
56601,0.59,0.25,0.79,1006.6,28.62,100.16,54.95,0
56648,0.59,0.23,0.79,1006.6,28.62,100.16,54.95,0
56679,0.59,0.23,0.79,1006.55,28.62,100.16,54.95,0
56695,0.58,0.21,0.8,1006.55,28.62,100.16,54.95,0
56742,0.59,0.18,0.8,1006.55,28.62,100.16,54.95,0
56789,0.6,0.14,0.79,1006.55,28.62,100.16,54.95,0
56835,0.61,0.14,0.79,1006.55,28.62,100.16,54.95,0
56882,0.59,0.14,0.8,1006.55,28.62,100.16,54.95,0
56929,0.61,0.16,0.8,1006.55,28.62,100.16,54.95,0
56976,0.61,0.16,0.82,1006.55,28.62,100.16,54.95,0
57023,0.6,0.16,0.8,1006.55,28.62,100.16,54.95,0
57070,0.6,0.15,0.82,1006.55,28.62,100.16,54.95,0
57117,0.59,0.13,0.8,1006.55,28.62,100.16,54.95,0
57164,0.59,0.13,0.8,1006.55,28.62,100.16,54.95,0
57179,0.59,0.13,0.8,1006.58,28.62,100.16,54.95,0
57187,0.59,0.13,0.8,1006.58,28.62,100.16,54.95,0
57187,0.59,0.13,0.8,1006.58,28.62,87.4,54.95,0
57187,0.59,0.13,0.8,1006.58,28.62,87.4,54.95,0
57226,0.6,0.14,0.8,1006.58,28.62,87.4,54.95,0
57273,0.61,0.13,0.8,1006.58,28.62,87.4,54.95,0
57320,0.6,0.13,0.82,1006.58,28.62,87.4,54.95,0
57367,0.59,0.14,0.82,1006.58,28.62,87.4,54.95,0
57414,0.6,0.12,0.8,1006.58,28.62,87.4,54.95,0
57460,0.59,0.12,0.81,1006.58,28.62,87.4,54.95,0
57507,0.6,0.13,0.82,1006.58,28.62,87.4,54.95,0
57554,0.6,0.12,0.82,1006.58,28.62,87.4,54.95,0
57601,0.59,0.14,0.82,1006.58,28.62,87.4,54.95,0
57648,0.58,0.15,0.81,1006.58,28.62,87.4,54.95,0
57679,0.58,0.15,0.81,1006.6,28.62,87.4,54.95,0
